,屋齡等級,建物移轉總面積坪,KDE_1km,外圍嫌惡設施,外圍迎毗設施,周邊嫌惡設施指數,功能性空間比例,周邊迎毗設施評分,有無電梯,有無管理組織,新型建材,陽台有無,是否包含車位
2013,0.21227649550891262,0.20442953128704477,0.17231959326775353,0.09832857965114933,0.07733712046716121,0.06651815869141754,0.055581409063229066,0.049075899584302446,0.017171657635385158,0.013932280746921653,0.01324955959911684,0.012768835786250826,0.007010878711355011
2014,0.16198202870226883,0.1980518531689414,0.21506434034651803,0.09480602246292488,0.06522496514969078,0.06780076238776757,0.04776947886462821,0.03711310139133817,0.016223497636667326,0.008058714150959096,0.011494939780896574,0.025360507253445026,0.05104978870395404
2015,0.18065633724761387,0.17997709709818485,0.26465956890391673,0.07700994684009405,0.047151357495860635,0.07057260157362968,0.05027157581693192,0.036943615216820984,0.017806913250990916,0.017079894208699743,0.016018752149423412,0.035104732496204494,0.006747607701628753
2016,0.19734307813542123,0.163104733525749,0.22170546312173645,0.09629637687661646,0.05600210142248255,0.06733882770216955,0.05118619674426015,0.03863905822346405,0.02664640642602213,0.013178309847408576,0.0130241377994555,0.051105243996510674,0.004430066178703639
2017,0.1938171474998626,0.17345657296824016,0.26171276674942634,0.07306681772661944,0.0527894593509149,0.05887843684450813,0.0469991237097989,0.036083223327199085,0.02079378155538313,0.012655042803506806,0.01619314648508067,0.047858762987029874,0.005695717992430097
2018,0.15424801103653418,0.18147468917710785,0.22743591055867032,0.09836538278872349,0.05399554817634227,0.06279464416536895,0.04645200353001923,0.0405261251056078,0.024146672073213814,0.009339825677912292,0.015187800920187542,0.07742310455275375,0.008610282237558572
2019,0.15135966991133984,0.16821793220269257,0.22808131090381442,0.11722383318175758,0.046685903174929856,0.0575742642063287,0.039377159738703246,0.039442730346290096,0.03640868500999655,0.011888557707549346,0.010649137018731318,0.08717843190468351,0.005912384693182972
2020,0.1456160038795694,0.12299180801344332,0.2948764909043675,0.07706338942243718,0.04781289297174869,0.06926498666361676,0.049683839947356194,0.04109245995414874,0.019816863964608095,0.011312160141725583,0.00951759358574035,0.10061802916451207,0.01033348138672604
2021,0.17438949967702716,0.12344464424950918,0.26498642396134353,0.09785012985805325,0.05478564876416093,0.05837401970252325,0.05265925440047034,0.029763203060262117,0.016007787859360897,0.011647628472137603,0.002646650280354394,0.07914839132200704,0.0342967183927901
2022,0.16556899540564568,0.10610473174962827,0.27794600673159553,0.08130082070821126,0.03301221266370069,0.06703436657519964,0.04138509253603072,0.0297463823094899,0.010733501439182162,0.01948152375427214,0.0031584511238908256,0.10044071910995662,0.06408719589319671
2023,0.138923004476287,0.0912513304678047,0.23817940911370208,0.06351376945671622,0.030797405937824856,0.0527460980180688,0.03240233388946734,0.028846402843339055,0.008170353104098256,0.008759235896671637,0.0021091767728320995,0.14558177114037643,0.1587197088828116
2024,0.1373861617649591,0.10176288954140224,0.18721122497660933,0.06493571098008673,0.033253879709882084,0.06135052258766931,0.03827714371223336,0.027257879575274355,0.005954655241790586,0.03741373873980432,0.0011262517557246953,0.1054908276745404,0.1985791137400235
